descrição,Série,período,valor,ano
INFANTIL 3 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 2,INFANTIL 3,2,"0,00",2026
INFANTIL 3 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 3,INFANTIL 3,3,"0,00",2026
INFANTIL 3 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 4,INFANTIL 3,4,"0,00",2026
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 1,INFANTIL 3,1,"0,00",2026
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 2,INFANTIL 3,3,"0,00",2026
KIT FABER CASTELL,INFANTIL 3,anual,"0,00",2026
INFANTIL 4 - INGLÊS,INFANTIL 4,anual,"0,00",2026
INFANTIL 4 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 1,INFANTIL 4,1,"0,00",2026
INFANTIL 4 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 2,INFANTIL 4,2,"0,00",2026
INFANTIL 4 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 3,INFANTIL 4,3,"0,00",2026
INFANTIL 4 - CADERNO INTEGRADO COM OS 5 CAMPOS DE EXPERIÊNCIA 4,INFANTIL 4,4,"0,00",2026
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 1,INFANTIL 4,1,"0,00",2026
INFANTIL 1 AO 3 - DIÁRIO DO ALUNO 2,INFANTIL 4,3,"0,00",2026
CO-INF. E FUND. CADERNO DE DESENHO,INFANTIL 4,1,"0,00",2026
KIT FABER CASTELL,INFANTIL 4,anual,"0,00",2026
CO-INF. E FUND. CADERNO DE DESENHO,1º ANO,anual,"0,00",2026
CO-FUND.1 ANO - CADERNO PAUTADO - LINHAS LARGAS,1º ANO,anual,"0,00",2026
1 ANO - INGLÊS,1º ANO,anual,"0,00",2026
1 ANO - LÍNGUA PORTUGUESA - MATEMÁTICA -  CIÊNCIAS - HISTÓRIA - GEOGRAFIA,1º ANO,1,"0,00",2026
1 ANO - LÍNGUA PORTUGUESA - MATEMÁTICA -  CIÊNCIAS - HISTÓRIA - GEOGRAFIA,1º ANO,2,"0,00",2026
1 ANO - LÍNGUA PORTUGUESA - MATEMÁTICA -  CIÊNCIAS - HISTÓRIA - GEOGRAFIA,1º ANO,3,"0,00",2026
1 ANO - LÍNGUA PORTUGUESA - MATEMÁTICA -  CIÊNCIAS - HISTÓRIA - GEOGRAFIA,1º ANO,4,"0,00",2026
1 ANO - DIÁRIO DO ALUNO 1,1º ANO,1,"0,00",2026
1 ANO - DIÁRIO DO ALUNO 2,1º ANO,3,"0,00",2026
KIT FABER CASTELL,1º ANO,anual,"0,00",2026
JOVENS FOR SCHOOL - 1,1º ANO,1,"0,00",2026
JOVENS FOR SCHOOL - 2,1º ANO,3,"0,00",2026
2 AO 5 ANO - DIÁRIO DO ALUNO 1,2º ANO,1,"0,00",2026
2 AO 5 ANO - DIÁRIO DO ALUNO 2,2º ANO,3,"0,00",2026
2 ANO - INGLÊS 1,2º ANO,1,"0,00",2026
CO-FUND.2 ANO - BROCHURA COM PAUTAS LARGAS,2º ANO,1,"0,00",2026
2 ANO - MATEMÁTICA E CIÊNCIAS 1,2º ANO,1,"0,00",2026
"2 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 1",2º ANO,1,"0,00",2026
2 ANO - INGLÊS 2,2º ANO,2,"0,00",2026
2 ANO - MATEMÁTICA E CIÊNCIAS 2,2º ANO,2,"0,00",2026
"2 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 2",2º ANO,2,"0,00",2026
2 ANO - INGLÊS 3,2º ANO,3,"0,00",2026
2 ANO - MATEMÁTICA E CIÊNCIAS 3,2º ANO,3,"0,00",2026
"2 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 3",2º ANO,3,"0,00",2026
2 ANO - INGLÊS 4,2º ANO,4,"0,00",2026
2 ANO - MATEMÁTICA E CIÊNCIAS 4,2º ANO,4,"0,00",2026
"2 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",2º ANO,4,"0,00",2026
KIT FABER CASTELL,2º ANO,anual,"0,00",2026
JOVENS FOR SCHOOL - 1,2º ANO,1,"0,00",2026
JOVENS FOR SCHOOL - 2,2º ANO,3,"0,00",2026
2 AO 5 ANO - DIÁRIO DO ALUNO 1,3º ANO,1,"0,00",2026
2 AO 5 ANO - DIÁRIO DO ALUNO 2,3º ANO,3,"0,00",2026
CO-FUND.3 AO 5 ANO - CADERNO PAUTADO,3º ANO,1,"0,00",2026
3 ANO - INGLÊS 1,3º ANO,1,"0,00",2026
3 ANO - MATEMÁTICA E CIÊNCIAS 1,3º ANO,1,"0,00",2026
"3 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 1",3º ANO,1,"0,00",2026
3 ANO - INGLÊS 2,3º ANO,2,"0,00",2026
3 ANO - MATEMÁTICA E CIÊNCIAS 2,3º ANO,2,"0,00",2026
"3 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 2",3º ANO,2,"0,00",2026
3 ANO - INGLÊS 3,3º ANO,3,"0,00",2026
3 ANO - MATEMÁTICA E CIÊNCIAS 3,3º ANO,3,"0,00",2026
"3 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 3",3º ANO,3,"0,00",2026
3 ANO - INGLÊS 4,3º ANO,4,"0,00",2026
3 ANO - MATEMÁTICA E CIÊNCIAS 4,3º ANO,4,"0,00",2026
"3 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",3º ANO,4,"0,00",2026
KIT FABER CASTELL,3º ANO,anual,"0,00",2026
JOVENS FOR SCHOOL - 1,3º ANO,1,"0,00",2026
JOVENS FOR SCHOOL - 2,3º ANO,3,"0,00",2026
2 AO 5 ANO - DIÁRIO DO ALUNO 1,4º ANO,1,"0,00",2026
2 AO 5 ANO - DIÁRIO DO ALUNO 2,4º ANO,3,"0,00",2026
CO-FUND.3 AO 5 ANO - CADERNO PAUTADO,4º ANO,1,"0,00",2026
4 ANO - INGLÊS 1,4º ANO,1,"0,00",2026
4 ANO - MATEMÁTICA E CIÊNCIAS 1,4º ANO,1,"0,00",2026
"4 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 1",4º ANO,1,"0,00",2026
4 ANO - INGLÊS 2,4º ANO,2,"0,00",2026
4 ANO - MATEMÁTICA E CIÊNCIAS 2,4º ANO,2,"0,00",2026
"4 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 2",4º ANO,2,"0,00",2026
4 ANO - INGLÊS 3,4º ANO,3,"0,00",2026
4 ANO - MATEMÁTICA E CIÊNCIAS 3,4º ANO,3,"0,00",2026
"4 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 3",4º ANO,3,"0,00",2026
4 ANO - INGLÊS 4,4º ANO,4,"0,00",2026
4 ANO - MATEMÁTICA E CIÊNCIAS 4,4º ANO,4,"0,00",2026
"4 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",4º ANO,4,"0,00",2026
KIT FABER CASTELL,4º ANO,anual,"0,00",2026
JOVENS FOR SCHOOL - 1,4º ANO,1,"0,00",2026
JOVENS FOR SCHOOL - 2,4º ANO,3,"0,00",2026
2 AO 5 ANO - DIÁRIO DO ALUNO 1,5º ANO,1,"0,00",2026
2 AO 5 ANO - DIÁRIO DO ALUNO 2,5º ANO,3,"0,00",2026
CO-FUND.3 AO 5 ANO - CADERNO PAUTADO,5º ANO,1,"0,00",2026
5 ANO - INGLÊS 1,5º ANO,1,"0,00",2026
5 ANO - MATEMÁTICA E CIÊNCIAS 1,5º ANO,1,"0,00",2026
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 1",5º ANO,1,"0,00",2026
5 ANO - CONHECENDO O BRASIL E O MUNDO POR MAPAS,5º ANO,anual,"0,00",2026
5 ANO - INGLÊS 2,5º ANO,2,"0,00",2026
5 ANO - MATEMÁTICA E CIÊNCIAS 2,5º ANO,2,"0,00",2026
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 2",5º ANO,2,"0,00",2026
5 ANO - INGLÊS 3,5º ANO,3,"0,00",2026
5 ANO - MATEMÁTICA E CIÊNCIAS 3,5º ANO,3,"0,00",2026
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 3",5º ANO,3,"0,00",2026
5 ANO - INGLÊS 4,5º ANO,4,"0,00",2026
5 ANO - MATEMÁTICA E CIÊNCIAS 4,5º ANO,4,"0,00",2026
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",5º ANO,4,"0,00",2026
KIT FABER CASTELL,5º ANO,anual,"0,00",2026
JOVENS FOR SCHOOL - 1,5º ANO,1,"0,00",2026
JOVENS FOR SCHOOL - 2,5º ANO,3,"0,00",2026
6 ANO - ARTES VISUAIS 1,6º ANO,2,"0,00",2026
6 ANO - ARTES VISUAIS 2,6º ANO,3,"0,00",2026
6 ANO - PORTUGUÊS E MATEMÁTICA 1,6º ANO,1,"0,00",2026
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 1",6º ANO,1,"0,00",2026
6 ANO - PORTUGUÊS E MATEMÁTICA 2,6º ANO,2,"0,00",2026
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 2",6º ANO,2,"0,00",2026
6 ANO - PORTUGUÊS E MATEMÁTICA 3,6º ANO,3,"0,00",2026
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 3",6º ANO,3,"0,00",2026
6 ANO - PORTUGUÊS E MATEMÁTICA 4,6º ANO,4,"0,00",2026
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 4",6º ANO,4,"0,00",2026
ESPANHOL,6º ANO,anual,"0,00",2026
REDAÇÃO 6 AO 9 - 1º TRI,6º ANO,1,"0,00",2026
REDAÇÃO 6 AO 9 - 2º TRI,6º ANO,2,"0,00",2026
REDAÇÃO 6 AO 9 - 3º TRI,6º ANO,3,"0,00",2026
JOVENS FOR SCHOOL - 1,6º ANO,1,"0,00",2026
JOVENS FOR SCHOOL - 2,6º ANO,3,"0,00",2026
KIT NAVE,6º ANO,anual,"0,00",2026
25 SEGUNDOS - SOCIOEMOCIONAL,6º ANO,anual,"0,00",2026
7 ANO - ARTES VISUAIS 1,7º ANO,2,"0,00",2026
7 ANO - ARTES VISUAIS 2,7º ANO,3,"0,00",2026
7 ANO - PORTUGUÊS E MATEMÁTICA 1,7º ANO,1,"0,00",2026
"7 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 1",7º ANO,1,"0,00",2026
7 ANO - PORTUGUÊS E MATEMÁTICA 2,7º ANO,2,"0,00",2026
"7 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 2",7º ANO,2,"0,00",2026
7 ANO - PORTUGUÊS E MATEMÁTICA 3,7º ANO,3,"0,00",2026
"7 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 3",7º ANO,3,"0,00",2026
7 ANO - PORTUGUÊS E MATEMÁTICA 4,7º ANO,4,"0,00",2026
"7 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 4",7º ANO,4,"0,00",2026
FRANCÊS,7º ANO,anual,"0,00",2026
REDAÇÃO 6 AO 9 - 1º TRI,7º ANO,1,"0,00",2026
REDAÇÃO 6 AO 9 - 2º TRI,7º ANO,2,"0,00",2026
REDAÇÃO 6 AO 9 - 3º TRI,7º ANO,3,"0,00",2026
JOVENS FOR SCHOOL - 1,7º ANO,1,"0,00",2026
JOVENS FOR SCHOOL - 2,7º ANO,3,"0,00",2026
KIT NAVE,7º ANO,anual,"0,00",2026
25 SEGUNDOS - SOCIOEMOCIONAL,7º ANO,anual,"0,00",2026
8 ANO - ARTES VISUAIS 1,8º ANO,2,"0,00",2026
8 ANO - ARTES VISUAIS 2,8º ANO,3,"0,00",2026
8 ANO - PORTUGUÊS E MATEMÁTICA 1,8º ANO,1,"0,00",2026
"8 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 1",8º ANO,1,"0,00",2026
8 ANO - PORTUGUÊS E MATEMÁTICA 2,8º ANO,2,"0,00",2026
"8 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 2",8º ANO,2,"0,00",2026
8 ANO - PORTUGUÊS E MATEMÁTICA 3,8º ANO,3,"0,00",2026
"8 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 3",8º ANO,3,"0,00",2026
8 ANO - PORTUGUÊS E MATEMÁTICA 4,8º ANO,4,"0,00",2026
"8 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 4",8º ANO,4,"0,00",2026
ITALIANO,8º ANO,anual,"0,00",2026
REDAÇÃO 6 AO 9 - 1º TRI,8º ANO,1,"0,00",2026
REDAÇÃO 6 AO 9 - 2º TRI,8º ANO,2,"0,00",2026
REDAÇÃO 6 AO 9 - 3º TRI,8º ANO,3,"0,00",2026
JOVENS FOR SCHOOL - 1,8º ANO,1,"0,00",2026
JOVENS FOR SCHOOL - 2,8º ANO,3,"0,00",2026
KIT NAVE,8º ANO,anual,"0,00",2026
25 SEGUNDOS - SOCIOEMOCIONAL,8º ANO,anual],"0,00",2026
9 ANO - ARTES VISUAIS 1,9º ANO,2,"0,00",2026
9 ANO - ARTES VISUAIS 2,9º ANO,3,"0,00",2026
9 ANO - PORTUGUÊS E MATEMÁTICA 1,9º ANO,1,"0,00",2026
"9 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 1",9º ANO,1,"0,00",2026
9 ANO - PORTUGUÊS E MATEMÁTICA 2,9º ANO,2,"0,00",2026
"9 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 2",9º ANO,2,"0,00",2026
9 ANO - PORTUGUÊS E MATEMÁTICA 3,9º ANO,3,"0,00",2026
"9 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 3",9º ANO,3,"0,00",2026
9 ANO - PORTUGUÊS E MATEMÁTICA 4,9º ANO,4,"0,00",2026
"9 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 4",9º ANO,4,"0,00",2026
MANDARIM 1º TRI,9º ANO,1,"0,00",2026
MANDARIM 2º TRI,9º ANO,2,"0,00",2026
MANDARIM 3º TRI,9º ANO,3,"0,00",2026
REDAÇÃO 6 AO 9 - 1º TRI,9º ANO,1,"0,00",2026
REDAÇÃO 6 AO 9 - 2º TRI,9º ANO,2,"0,00",2026
REDAÇÃO 6 AO 9 - 3º TRI,9º ANO,3,"0,00",2026
JOVENS FOR SCHOOL - 1,9º ANO,1,"0,00",2026
JOVENS FOR SCHOOL - 2,9º ANO,3,"0,00",2026
KIT NAVE,9º ANO,anual,"0,00",2026
25 SEGUNDOS - SOCIOEMOCIONAL,9º ANO,anual,"0,00",2026
ENS. MÉDIO 1 SÉRIE: EH AGRUPADAS 1,1º EM,1,"0,00",2026
ENS. MÉDIO 1 SÉRIE: TC TAREFA DE CASA 1,1º EM,1,"0,00",2026
ENS. MÉDIO 1 SÉRIE: HB AGRUPADAS 1,1º EM,1,"0,00",2026
ENS. MÉDIO 1 SÉRIE: TC GABARITO 1,1º EM,1,"0,00",2026
ENS. MÉDIO 1 SÉRIE: EH AGRUPADAS 2,1º EM,2,"0,00",2026
ENS. MÉDIO 1 SÉRIE: TC TAREFA DE CASA 2,1º EM,2,"0,00",2026
ENS. MÉDIO 1 SÉRIE: HB AGRUPADAS 2,1º EM,2,"0,00",2026
ENS. MÉDIO 1 SÉRIE: TC GABARITO 2,1º EM,2,"0,00",2026
ENS. MÉDIO 1 SÉRIE: EH AGRUPADAS 3,1º EM,3,"0,00",2026
ENS. MÉDIO 1 SÉRIE: TC TAREFA DE CASA 3,1º EM,3,"0,00",2026
ENS. MÉDIO 1 SÉRIE: HB AGRUPADAS 3,1º EM,3,"0,00",2026
ENS. MÉDIO 1 SÉRIE: TC GABARITO 3,1º EM,3,"0,00",2026
ENS. MÉDIO 1 SÉRIE: EH AGRUPADAS 4,1º EM,4,"0,00",2026
ENS. MÉDIO 1 SÉRIE: TC TAREFA DE CASA ,1º EM,4,"0,00",2026
ENS. MÉDIO 1 SÉRIE: HB AGRUPADAS 4,1º EM,4,"0,00",2026
ENS. MÉDIO 1 SÉRIE: TC GABARITO 4,1º EM,4,"0,00",2026
ENS. MÉDIO 1 SÉRIE: LITERATURA - CONTOS,1º EM,1,"0,00",2026
ENS. MÉDIO 1 SÉRIE: LITERATURA - SONETO,1º EM,2,"0,00",2026
ENS. MÉDIO 1 SÉRIE: LITERATURA - MEMÓRIAS DE UM SARGENTO DE MILÍCIAS,1º EM,3,"0,00",2026
ENS. MÉDIO 1 SÉRIE: LITERATURA - IRACEMA,1º EM,4,"0,00",2026
JOVENS FOR SCHOOL - 1,1º EM,1,"0,00",2026
JOVENS FOR SCHOOL - 2,1º EM,3,"0,00",2026
ENS. MÉDIO 2a SÉRIE: EH AGRUPADAS 1,2º EM,1,"0,00",2026
ENS. MÉDIO 2a SÉRIE: TC TAREFA DE CASA 1,2º EM,1,"0,00",2026
ENS. MÉDIO 2a SÉRIE: HB AGRUPADAS 1,2º EM,1,"0,00",2026
ENS. MÉDIO 2a SÉRIE: TC GABARITO 1,2º EM,1,"0,00",2026
ENS. MÉDIO 2a SÉRIE: EH AGRUPADAS 2,2º EM,2,"0,00",2026
ENS. MÉDIO 2a SÉRIE: TC TAREFA DE CASA 2,2º EM,2,"0,00",2026
ENS. MÉDIO 2a SÉRIE: HB AGRUPADAS 2,2º EM,2,"0,00",2026
ENS. MÉDIO 2a SÉRIE: TC GABARITO 2,2º EM,2,"0,00",2026
ENS. MÉDIO 2a SÉRIE: EH AGRUPADAS 3,2º EM,3,"0,00",2026
ENS. MÉDIO 2a SÉRIE: TC TAREFA DE CASA 3,2º EM,3,"0,00",2026
ENS. MÉDIO 2a SÉRIE: HB AGRUPADAS 3,2º EM,3,"0,00",2026
ENS. MÉDIO 2a SÉRIE: TC GABARITO 3,2º EM,3,"0,00",2026
ENS. MÉDIO 2a SÉRIE: EH AGRUPADAS 4,2º EM,4,"0,00",2026
ENS. MÉDIO 2a SÉRIE: TC TAREFA DE CASA 4,2º EM,4,"0,00",2026
ENS. MÉDIO 2a SÉRIE: HB AGRUPADAS 4,2º EM,4,"0,00",2026
ENS. MÉDIO 2a SÉRIE: TC GABARITO 4,2º EM,4,"0,00",2026
ENS. MÉDIO 2 SÉRIE: LITERATURA - DOM CASMURRO,2º EM,1,"0,00",2026
ENS. MÉDIO 2 SÉRIE: LITERATURA - O CORTIÇO,2º EM,2,"0,00",2026
ENS. MÉDIO 2 SÉRIE: LITERATURA - TRISTE FIM DE POLICARPO QUARESMA,2º EM,3,"0,00",2026
ENS. MÉDIO 2 SÉRIE: LITERATURAS - ALGUMA POESIA - CAMPO GERAL,2º EM,4,"0,00",2026
JOVENS FOR SCHOOL - 1,2º EM,1,"0,00",2026
JOVENS FOR SCHOOL - 2,2º EM,3,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 1 - MAT. - PORT. - HIST. - GEOGR. -  1,3º EM,1,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 2 - FÍS. - BIOL. - QUIM. - ING. -  1,3º EM,1,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 1) - MATEMÁTICA E FÍSICA -  1,3º EM,1,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 2) - QUÍMICA E PORTUGUÊS -  1,3º EM,1,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 1) - HISTÓRIA E GEOGRADIA -  1,3º EM,1,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 2) - BIOLOGIA E INGLÊS -  1,3º EM,1,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 1 - MAT. - PORT. - HIST. - GEOGR. -  2,3º EM,2,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 2 - FÍS. - BIOL. - QUIM. - ING. -  2,3º EM,2,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 1) - MATEMÁTICA E FÍSICA -  2,3º EM,2,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 2) - QUÍMICA E PORTUGUÊS -  2,3º EM,2,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 1) - HISTÓRIA E GEOGRADIA -  2,3º EM,2,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 2) - BIOLOGIA E INGLÊS -  2,3º EM,2,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 1 - MAT. - PORT. - HIST. - GEOGR. -  3,3º EM,3,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 2 - FÍS. - BIOL. - QUIM. - ING. -  3,3º EM,3,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 1) - MATEMÁTICA E FÍSICA -  3,3º EM,3,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 2) - QUÍMICA E PORTUGUÊS -  3,3º EM,3,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 1) - HISTÓRIA E GEOGRADIA -  3,3º EM,3,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 2) - BIOLOGIA E INGLÊS -  3,3º EM,3,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 1 - MAT. - PORT. - HIST. - GEOGR. -  4,3º EM,4,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TAREFA 2 - FÍS. - BIOL. - QUIM. - ING. -  4,3º EM,4,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 1) - MATEMÁTICA E FÍSICA -  4,3º EM,4,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (EH 2) - QUÍMICA E PORTUGUÊS -  4,3º EM,4,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 1) - HISTÓRIA E GEOGRADIA -  4,3º EM,4,"0,00",2026
ENS. MÉDIO MÉD. 3 SÉRIE TEORIA E EXERCÍCIOS (HB 2) - BIOLOGIA E INGLÊS -  4,3º EM,4,"0,00",2026
LV-CADERNO DE FICHA RESUMO: VOLUME 1,3º EM,anual,"0,00",2026
LV-CADERNO DE FICHA RESUMO: VOLUME 2,3º EM,anual,"0,00",2026
LV-REVISÃO GERAL - 30 AULAS BIOLÓGICA E EXATAS TAREFA,3º EM,4,"0,00",2026
LV-REVISÃO GERAL - 30 AULAS BIOLÓGICA E EXATAS EXERCÍCIOS,3º EM,4,"0,00",2026
JOVENS FOR SCHOOL - 1,3º EM,1,"0,00",2026
JOVENS FOR SCHOOL - 2,3º EM,3,"0,00",2026
